rule_name,category,pattern,match_type,confidence,counterparty,source
A.S. BODY CORPORATE MANAGEMENT PTY. LTD.,Rent,A S BODY CORPORATE MANAGEMENT PTY LTD,keyword,0.95,A.S. BODY CORPORATE MANAGEMENT PTY. LTD.,institution
MCCATHIES REAL ESTATE PTY. LTD.,Rent,MCCATHIES REAL ESTATE PTY LTD|NUTRIEN HARCOURTS MCCATHIES,keyword,0.95,MCCATHIES REAL ESTATE PTY. LTD.,institution
PENINSULA MINI STORAGE PTY LIMITED,Rent,PENINSULA MINI STORAGE PTY LIMITED,keyword,0.95,PENINSULA MINI STORAGE PTY LIMITED,institution
COMMUNITY HOUSING LIMITED,Rent,COMMUNITY HOUSING LIMITED,keyword,0.95,COMMUNITY HOUSING LIMITED,institution
PELHAM PROPERTY CONSULTANTS PTY. LTD.,Rent,PELHAM PROPERTY CONSULTANTS PTY LTD,keyword,0.95,PELHAM PROPERTY CONSULTANTS PTY. LTD.,institution
HOWARDS EQUIPMENT PTY LTD,Rent,HOWARDS EQUIPMENT PTY LTD,keyword,0.95,HOWARDS EQUIPMENT PTY LTD,institution
ASIAN PACIFIC SERVICED OFFICES PTY LTD,Rent,ASIAN PACIFIC SERVICED OFFICES PTY LTD|ASIAN PACIFIC BUSINESS CENTRES PTY LTD|ASIAN PACIFIC BUSINESS CENTRES|SERVICED OFFICES AUSTRALIA,keyword,0.95,ASIAN PACIFIC SERVICED OFFICES PTY LTD,institution
BR STAFF PLAN LTD,Rent,BR STAFF PLAN LTD|BETTER RENTALS STAFF PLAN LTD,keyword,0.95,BR STAFF PLAN LTD,institution
AUSTRAMORE PTY LTD,Rent,AUSTRAMORE PTY LTD,keyword,0.95,AUSTRAMORE PTY LTD,institution
MILLER RANDLE (AUST) PTY. LTD.,Rent,MILLER RANDLE AUST PTY LTD|MILLER RANDLE AUST,keyword,0.95,MILLER RANDLE (AUST) PTY. LTD.,institution
DALY PROPERTIES PTY. LTD.,Rent,DALY PROPERTIES PTY LTD,keyword,0.95,DALY PROPERTIES PTY. LTD.,institution
ANTALYA DEVELOPMENTS PTY LTD,Rent,ANTALYA DEVELOPMENTS PTY LTD,keyword,0.95,ANTALYA DEVELOPMENTS PTY LTD,institution
ROSEBERY PROPERTIES PTY LTD,Rent,ROSEBERY PROPERTIES PTY LTD,keyword,0.95,ROSEBERY PROPERTIES PTY LTD,institution
FRESHFIELD PROPERTIES PTY LTD,Rent,FRESHFIELD PROPERTIES PTY LTD|FRESHFIELD SOLUTIONS,keyword,0.95,FRESHFIELD PROPERTIES PTY LTD,institution
BACH PROJECT SALES PTY. LTD.,Rent,BACH PROJECT SALES PTY LTD,keyword,0.95,BACH PROJECT SALES PTY. LTD.,institution
360 CAPITAL PROPERTIES NO.1 LIMITED,Rent,360 CAPITAL PROPERTIES NO 1 LIMITED,keyword,0.95,360 CAPITAL PROPERTIES NO.1 LIMITED,institution
JOHN P BENNETTS REAL ESTATE PTY. LIMITED,Rent,JOHN P BENNETTS REAL ESTATE PTY LIMITED,keyword,0.95,JOHN P BENNETTS REAL ESTATE PTY. LIMITED,institution
LINK CORPORATE SERVICES PTY LTD,Rent,LINK CORPORATE SERVICES PTY LTD|LINK STRATA MANAGEMENT,keyword,0.95,LINK CORPORATE SERVICES PTY LTD,institution
AUSTRALIAN PROPERTY ADVISORY PTY. LTD.,Rent,AUSTRALIAN PROPERTY ADVISORY PTY LTD,keyword,0.95,AUSTRALIAN PROPERTY ADVISORY PTY. LTD.,institution
RETAIL & CORPORATE PROPERTY SERVICES PTY LTD,Rent,RETAIL CORPORATE PROPERTY SERVICES PTY LTD,keyword,0.95,RETAIL & CORPORATE PROPERTY SERVICES PTY LTD,institution
25 BLAIR STREET PTY LIMITED,Rent,25 BLAIR STREET PTY LIMITED,keyword,0.95,25 BLAIR STREET PTY LIMITED,institution
PARAGON CREST PTY LTD,Rent,PARAGON CREST PTY LTD|PARAGON CREFTPTY LTID,keyword,0.95,PARAGON CREST PTY LTD,institution
PEAK LAND MANAGEMENT PTY LIMITED,Rent,PEAK LAND MANAGEMENT PTY LIMITED,keyword,0.95,PEAK LAND MANAGEMENT PTY LIMITED,institution
NOLL PROPERTIES PTY LTD,Rent,NOLL PROPERTIES PTY LTD,keyword,0.95,NOLL PROPERTIES PTY LTD,institution
PALMA GARDENS PTY LTD,Rent,PALMA GARDENS PTY LTD,keyword,0.95,PALMA GARDENS PTY LTD,institution
NEPEAN REAL ESTATE PTY LTD,Rent,NEPEAN REAL ESTATE PTY LTD,keyword,0.95,NEPEAN REAL ESTATE PTY LTD,institution
H.N. INNISFAIL LEASING PTY LIMITED,Rent,H N INNISFAIL LEASING PTY LIMITED,keyword,0.95,H.N. INNISFAIL LEASING PTY LIMITED,institution
SEABEST INTERNATIONAL PTY LTD,Rent,SEABEST INTERNATIONAL PTY LTD,keyword,0.95,SEABEST INTERNATIONAL PTY LTD,institution
DAVID NEWTON REAL ESTATE PTY LIMITED,Rent,DAVID NEWTON REAL ESTATE PTY LIMITED|NEWTON REAL ESTATE,keyword,0.95,DAVID NEWTON REAL ESTATE PTY LIMITED,institution
CAPITAL LAND AUSTRALIA PTY. LIMITED,Rent,CAPITAL LAND AUSTRALIA PTY LIMITED,keyword,0.95,CAPITAL LAND AUSTRALIA PTY. LIMITED,institution
LESANDU ENGADINE PTY LIMITED,Rent,LESANDU ENGADINE PTY LIMITED,keyword,0.95,LESANDU ENGADINE PTY LIMITED,institution
COLOSSUS REALTY PTY LTD,Rent,COLOSSUS REALTY PTY LTD|PROPERTY SELECTION REALTY,keyword,0.95,COLOSSUS REALTY PTY LTD,institution
PAR LEASING PTY LTD,Rent,PAR LEASING PTY LTD|PAR SUBSCRIPTION,keyword,0.95,PAR LEASING PTY LTD,institution
SAADIE'S PROPERTY SERVICES PTY LIMITED,Rent,SAADIE S PROPERTY SERVICES PTY LIMITED,keyword,0.95,SAADIE'S PROPERTY SERVICES PTY LIMITED,institution
BUSTER'S PROPERTY SERVICES PTY LIMITED,Rent,BUSTER S PROPERTY SERVICES PTY LIMITED,keyword,0.95,BUSTER'S PROPERTY SERVICES PTY LIMITED,institution
CLERKE PROPERTIES PTY. LTD.,Rent,CLERKE PROPERTIES PTY LTD,keyword,0.95,CLERKE PROPERTIES PTY. LTD.,institution
MJM HIRE PTY LTD,Rent,MJM HIRE PTY LTD,keyword,0.95,MJM HIRE PTY LTD,institution
BENCREST PTY LTD,Rent,BENCREST PTY LTD,keyword,0.95,BENCREST PTY LTD,institution
NARACOORTE FIRST NATIONAL PTY LTD,Rent,NARACOORTE FIRST NATIONAL PTY LTD|FIRST NATIONAL REAL ESTATE NARACOORTE,keyword,0.95,NARACOORTE FIRST NATIONAL PTY LTD,institution
QF A332 Leasing 1 Pty Limited,Rent,QF A332 LEASING 1 PTY LIMITED,keyword,0.95,QF A332 Leasing 1 Pty Limited,institution
NATIONAL PROPERTY MANAGERS PTY LTD,Rent,NATIONAL PROPERTY MANAGERS PTY LTD,keyword,0.95,NATIONAL PROPERTY MANAGERS PTY LTD,institution
TONRIS PTY LTD,Rent,TONRIS PTY LTD,keyword,0.95,TONRIS PTY LTD,institution
LYNTON GROVE PTY LTD,Rent,LYNTON GROVE PTY LTD,keyword,0.95,LYNTON GROVE PTY LTD,institution
SOUTH PACIFIC PROPERTY GROUP PTY. LTD.,Rent,SOUTH PACIFIC PROPERTY GROUP PTY LTD,keyword,0.95,SOUTH PACIFIC PROPERTY GROUP PTY. LTD.,institution
FOLIO LEASING PTY LTD,Rent,FOLIO LEASING PTY LTD,keyword,0.95,FOLIO LEASING PTY LTD,institution
TRINITY APARTMENTS CROWS NEST PTY LIMITED,Rent,TRINITY APARTMENTS CROWS NEST PTY LIMITED,keyword,0.95,TRINITY APARTMENTS CROWS NEST PTY LIMITED,institution
Barrington Real Estate (VIC) Pty Ltd,Rent,BARRINGTON REAL ESTATE VIC PTY LTD,keyword,0.95,Barrington Real Estate (VIC) Pty Ltd,institution
PEREGRINE PROPERTIES PTY LTD,Rent,PEREGRINE PROPERTIES PTY LTD,keyword,0.95,PEREGRINE PROPERTIES PTY LTD,institution
DIAS & GRASSO PROPERTIES PTY LTD,Rent,DIAS GRASSO PROPERTIES PTY LTD,keyword,0.95,DIAS & GRASSO PROPERTIES PTY LTD,institution
Knight Frank Licensing Pty Ltd,Rent,KNIGHT FRANK LICENSING PTY LTD|KNIGHT FRANK LICENSING,keyword,0.95,Knight Frank Licensing Pty Ltd,institution
HUNTERS HILL REAL ESTATE PTY LTD,Rent,HUNTERS HILL REAL ESTATE PTY LTD,keyword,0.95,HUNTERS HILL REAL ESTATE PTY LTD,institution
SOUTHERN EXCLUSIVE PROPERTY PTY LTD,Rent,SOUTHERN EXCLUSIVE PROPERTY PTY LTD,keyword,0.95,SOUTHERN EXCLUSIVE PROPERTY PTY LTD,institution
R.J.R. BIN HIRE PTY LTD,Rent,R J R BIN HIRE PTY LTD,keyword,0.95,R.J.R. BIN HIRE PTY LTD,institution
NEW ENGLAND LAND PTY LTD,Rent,NEW ENGLAND LAND PTY LTD|WINLLAND PROPERTY PTY LTD,keyword,0.95,NEW ENGLAND LAND PTY LTD,institution
