rule_name,category,pattern,match_type,confidence,counterparty,source
LITHGOW GREYHOUND RACING CLUB LTD,Gambling,LITHGOW GREYHOUND RACING CLUB LTD|LITHGOW GREYHOUND RACING CLUB LIMITED,keyword,0.95,LITHGOW GREYHOUND RACING CLUB LTD,institution
CLUB GAMING PTY LTD,Gambling,CLUB GAMING PTY LTD,keyword,0.95,CLUB GAMING PTY LTD,institution
DRAGON BOOKMAKING PTY LTD,Gambling,DRAGON BOOKMAKING PTY LTD,keyword,0.95,DRAGON BOOKMAKING PTY LTD,institution
RED CASINO PTY LTD,Gambling,RED CASINO PTY LTD,keyword,0.95,RED CASINO PTY LTD,institution
EMPIRE TAB PTY. LTD.,Gambling,EMPIRE TAB PTY LTD,keyword,0.95,EMPIRE TAB PTY. LTD.,institution
Australian Poker League - Blue Mountains Pty Limited,Gambling,AUSTRALIAN POKER LEAGUE BLUE MOUNTAINS PTY LIMITED,keyword,0.95,Australian Poker League - Blue Mountains Pty Limited,institution
BRESCO CASINO PTY LTD,Gambling,BRESCO CASINO PTY LTD,keyword,0.95,BRESCO CASINO PTY LTD,institution
TPA NEWSAGENCY PTY LTD,Gambling,TPA NEWSAGENCY PTY LTD|PORT MALL LOTTERIES NEWSAGENCY,keyword,0.95,TPA NEWSAGENCY PTY LTD,institution
MALS LOTTO & NEWS PTY LTD,Gambling,MALS LOTTO NEWS PTY LTD,keyword,0.95,MALS LOTTO & NEWS PTY LTD,institution
TAB LIMITED,Gambling,TAB LIMITED|FOOTY TAB,keyword,0.95,TAB LIMITED,institution
